iter	Logloss
0	0.6594018459
1	0.6327240569
2	0.6093935385
3	0.5943411733
4	0.579601295
5	0.5653406286
6	0.5554278777
7	0.541794405
8	0.5322512478
9	0.5246227757
10	0.5190265847
11	0.511148251
12	0.4944728254
13	0.488422931
14	0.4833514128
15	0.4776520179
16	0.473106771
17	0.4684945615
18	0.464594903
19	0.4605272259
20	0.4568796032
21	0.4521340225
22	0.4492902878
23	0.446520363
24	0.4436717031
25	0.440241813
26	0.4345063529
27	0.4311598789
28	0.428648441
29	0.4233977789
30	0.419213221
31	0.4157316361
32	0.4139510162
33	0.4127252438
34	0.4091922265
35	0.4073106179
36	0.4054086963
37	0.4026739486
38	0.4000786909
39	0.3985350394
40	0.3968851632
41	0.3946426271
42	0.3932727679
43	0.3917782433
44	0.3882804041
45	0.3860343858
46	0.3845056596
47	0.3819388667
48	0.3784450208
49	0.377138676
50	0.3753420897
51	0.3730388286
52	0.3699494259
53	0.3683008848
54	0.3660472503
55	0.3645000187
56	0.3632332214
57	0.3599682222
58	0.3577605555
59	0.3565490355
60	0.3548135095
61	0.3531126557
62	0.3517261627
63	0.3491261807
64	0.3466295811
65	0.3450863991
66	0.3439873266
67	0.3417362062
68	0.3395206387
69	0.3384533228
70	0.3374470175
71	0.3355192243
72	0.3330512081
73	0.3313162587
74	0.3283074001
75	0.3261664272
76	0.3242562233
77	0.3223637841
78	0.3208179684
79	0.3193841727
80	0.317259563
81	0.3163237857
82	0.3145563512
83	0.3132279344
84	0.3106866546
85	0.3090124082
86	0.3074124551
87	0.305794875
88	0.3042762101
89	0.3019895098
90	0.2999769481
91	0.2982702773
92	0.2967478018
93	0.2947608208
94	0.2930691713
95	0.2913631105
96	0.2889353877
97	0.2867101089
98	0.2851499381
99	0.2831514026
100	0.2818939838
101	0.2806389143
102	0.2790141579
103	0.2768111171
104	0.2750249263
105	0.2734065791
106	0.2717846147
107	0.2698601686
108	0.2672133532
109	0.2656734315
110	0.2641479408
111	0.2606195465
112	0.2593666982
113	0.2581463695
114	0.2570281018
115	0.2546134168
116	0.2526292888
117	0.2512743151
118	0.2500468671
119	0.2489521368
120	0.2477325974
121	0.2469607661
122	0.2449578444
123	0.2436442776
124	0.2429127335
125	0.2408213248
126	0.2400252154
127	0.2390534268
128	0.2371314536
129	0.2360376106
130	0.2351307002
131	0.2343435356
132	0.233553789
133	0.2328470378
134	0.2320295821
135	0.2310761358
136	0.2303637354
137	0.2291652317
138	0.2284156677
139	0.2267968628
140	0.2258970869
141	0.2250943533
142	0.2243710166
143	0.2231868087
144	0.2217921797
145	0.2209570817
146	0.2202472876
147	0.2184303518
148	0.2176589968
149	0.2167603597
150	0.2148867934
151	0.2139526737
152	0.2127332884
153	0.2118745531
154	0.2108615457
155	0.2098817547
156	0.2088932089
157	0.2079345788
158	0.2073581346
159	0.2067218336
160	0.20611398
161	0.2049281525
162	0.2043713843
163	0.2030457471
164	0.2025322672
165	0.2017137036
166	0.2010338041
167	0.2000607136
168	0.1989511146
169	0.198111485
170	0.1975928717
171	0.1968100772
172	0.1960991981
173	0.1954582916
174	0.1948535634
175	0.1942108661
176	0.1934915079
177	0.1927604196
178	0.1922658571
179	0.1914701805
180	0.1905263113
181	0.1897866691
182	0.1891868007
183	0.188602667
184	0.1874354372
185	0.1868372016
186	0.1862711368
187	0.1858386849
188	0.1853249402
189	0.1847815499
190	0.1840655548
191	0.1836010748
192	0.1828456445
193	0.1824163082
194	0.1818092907
195	0.1810503115
196	0.1802331399
197	0.1793403731
198	0.1788072064
199	0.1779880959
