iter	Passed	Remaining
0	151	30071
1	160	15927
2	169	11121
3	178	8725
4	186	7290
5	196	6368
6	205	5670
7	215	5166
8	224	4764
9	231	4398
10	239	4106
11	245	3839
12	250	3599
13	256	3401
14	261	3220
15	266	3062
16	272	2929
17	277	2801
18	282	2689
19	288	2594
20	293	2500
21	298	2415
22	304	2341
23	309	2269
24	314	2201
25	320	2143
26	325	2084
27	330	2031
28	336	1984
29	342	1941
30	349	1903
31	355	1866
32	362	1834
33	370	1806
34	376	1773
35	382	1741
36	390	1718
37	396	1691
38	404	1669
39	411	1645
40	420	1631
41	428	1612
42	438	1599
43	447	1585
44	455	1567
45	462	1549
46	471	1535
47	480	1522
48	489	1509
49	500	1500
50	507	1484
51	516	1470
52	524	1454
53	532	1440
54	540	1425
55	549	1412
56	556	1396
57	565	1383
58	573	1369
59	581	1356
60	589	1343
61	598	1331
62	606	1318
63	614	1306
64	622	1293
65	631	1281
66	640	1271
67	649	1260
68	657	1248
69	666	1238
70	674	1225
71	683	1214
72	691	1202
73	699	1190
74	707	1178
75	715	1167
76	724	1157
77	732	1145
78	740	1134
79	748	1122
80	757	1112
81	765	1101
82	775	1093
83	784	1083
84	794	1075
85	803	1064
86	812	1054
87	819	1042
88	827	1032
89	835	1021
90	844	1011
91	852	1001
92	860	990
93	869	980
94	877	970
95	885	959
96	893	948
97	900	937
98	909	927
99	917	917
100	925	907
101	935	898
102	944	889
103	953	880
104	962	870
105	971	861
106	980	852
107	990	843
108	999	834
109	1008	824
110	1016	815
111	1024	805
112	1032	794
113	1042	786
114	1051	777
115	1060	767
116	1069	758
117	1077	748
118	1085	739
119	1093	728
120	1102	719
121	1109	709
122	1117	699
123	1125	689
124	1133	680
125	1141	670
126	1150	661
127	1158	651
128	1166	642
129	1176	633
130	1185	624
131	1193	614
132	1203	606
133	1212	597
134	1220	587
135	1229	578
136	1236	568
137	1245	559
138	1253	550
139	1263	541
140	1271	531
141	1280	522
142	1288	513
143	1297	504
144	1305	495
145	1314	486
146	1323	477
147	1332	468
148	1341	459
149	1349	449
150	1357	440
151	1365	431
152	1373	422
153	1382	412
154	1391	403
155	1399	394
156	1408	385
157	1416	376
158	1425	367
159	1433	358
160	1442	349
161	1451	340
162	1460	331
163	1468	322
164	1476	313
165	1484	304
166	1492	294
167	1500	285
168	1508	276
169	1516	267
170	1525	258
171	1533	249
172	1542	240
173	1550	231
174	1559	222
175	1568	213
176	1576	204
177	1585	195
178	1593	186
179	1602	178
180	1610	169
181	1618	160
182	1626	151
183	1634	142
184	1642	133
185	1650	124
186	1658	115
187	1667	106
188	1674	97
189	1682	88
190	1691	79
191	1699	70
192	1707	61
193	1716	53
194	1725	44
195	1734	35
196	1743	26
197	1752	17
198	1760	8
199	1769	0
